Blob Tracking Joven Tensa preconcierto,Fecha formato dd/mm/aa (solo si es necesario para esa fila)
Pillame fumando hibrido medio muerto en un automático Lex Luthor,(Si no hace referencia a una fecha queda vacío)
Autotune estribillo EN EL BORDE,01/01/2001
B1 22:30,
Lunes = 07:00 al curro :(,
Exportar steams Eurofighterzz,
Actualización FL Studio,
Pagarle al Kroack,
Probar nuevo hash 0.7 de banana ,
Nueva Tacchini blanca,
Grieta - Conchiñas - 22 Outeiro,
Feel it in the air ) Beanie ( Sigel,
SFX Bobby Drake Ichigo Kurosaki SFX,
after 4club,
Automatizar delay voz minuto 4 ,
"Decirle a Bobby = Verso 1 Outro, probar tune",
Sacar foto config efecto -> Slowmo,
"XLR, USB mesa, racks USB, adaptador mini jack a jack -> ¡¡¡¡NO OLVIDAR !!!!",
Rehacer todo el beat porque es una mierda ,
Reeverb Valhalla PRIMERO!!!,
ATLÁNTICO 2024 --- ¿¿¿¿¿2025?????,
ANTIFASCISMO SIEMPRE,
Montar video promo - premiere adobe pirata ,
Los Soprano Pine Barrens ,
Empezar THE WIRE YA !!,
Relax palco fonteculler A$AP,
FREE PALESTINA,